content,score
"No, you don't understand, we need an ad every 2 minutes",1
Game nya seru banget,5
Game is really good,5
I really wish you could do just stop cuz they don't even deserve one if you get this app if not work,1
It is cand of borrowing,4
To whoever is reading this I gave it 1 star because after one level a ad and that is a lot of ads so don't install the app.,1
10/10 mate this is FUNNNNN,5
I saw on tick tock and it is sooo cool :p ♡♡ .,5
Excellent,5
Simplistic fun,5
Super game,5
Love it😘,5
Good,5
Cool,5
EVERY SINGLE YTIME YOU WATCH THE SAME ANNOYING AD ANNOYING!!!!!!,1
Good,1
It a nice game and no problems,5
Bc ilove the game,5
few ads but l love it!,5
Too many ads 😐 and it's not really fun with the ads,2
Wow,5
it looks so cool if i did that i would dream of this,5
😂😂😂,5
I LOVE IT,5
Good game for fun,4
Is. Not. Leting. Me in,1
10000000000000/100000000000000000000,5
It was great More fun thx for telling me it was fun,5
Enjoyable,5
I like it fun and cool 😂,5
I dont like how the carters look but its good,4
love the game little lag but 80/89,5
Wonderful game,5
I give a 1star because they made a level impossible for no reason and I cant skip the level because it says its not available but I have internet connection so if this happens to you I recommend you uninstall because I cant get pass this level and I have been trying to beat the level for almost 2 weeks now if you would like to come across this issue then download you may not have this issue though plus there is like a 100 ads I do not reccomend,1
"This game sucks. Lots of ads. It is so annoying!!! I think this game doesn't need an internet connection, however you can't play without an internet connection. I don't see the relevance of having an internet connection with this game. It keeps on playing annoying ads as if they're useful to the game! Uggghhhh!",1
Nice game,5
"I dont like because in this game last 4,5 pipes na cheating hea jab full pipe hea to bhea vo 9,10,11 pea hea to bhe girjheati hu so this game is cheat we all",1
Very good,4
Ok,5
I love this game but a little because you cant dress the rails you know the guy thats holding the rail thing,2
cool,5
Awesome game & very entertaining & also the best game released by this company 👍.,5
Borin,1
I rate this game a three bc there are a lot of adds idk if they fixed this I have not played in a while and the blades always cut the pole please remove them other than that this game is fun,3
Shoves adds down your throat,1
Not fun,1
It is so so so fun,5
It's an okay game but when ever I die I get a but mad the game is not that bad tho!,3
Goodgameintersting,5
Very bad game this play for 1level vidio in intarnet,1
Vansh 3,5
Soooo fun,5
Fun,4
Full of ads,1
Good game not to many ads,5
Good,5
This game is a very bad. Because it is open in internet and many times so the Edvatais ment.,1
This game is really fun and its easy to use and ita very fun,5
Repetitive ad spawn,2
Rk,5
To many adds,1
Rubbish.. flooded with ads seriously every 3 seconds a ad,1
Good timepass. Simple.,5
Rlly fun great content; grateful they put this game up,5
This game is no more fun due to the missions.. If you don't have internet connection you can't play this game.. Otherwise it's fun.. 😐,3
"Not a fun game, levels are repetitive after like level 5. Developers just push ad after ad on everything you do. Don't download the game is not worth it",1
Way too many ads. Don't download.,1
Its amazing!you should try it!,5
This would be kinda fun if I could do this in real life.,4
It's not letting me danload it🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1
I like it because it's fun and it's like we are really doing it,5
Worst Game Ever! It kept lagging and freezing and I'm only on level 2. I instantly uninstalled this because I couldn't cope with all this.,1
"Constant ads, even during game play. Definitely not worth $3.49 to remove ads. Trash game.",1
lot of adds!,2
This game is the best game ever,5
Nice time pass Gud,5
I like this game,5
Fun game if you enjoy 5 seconds of play followed by 20 seconds of ads.,1
Yay,5
Lag. Lag lag lag. Adverts every 2 seconds and it won't uninstall. Really bad,1
Cool,5
I.it was good and all but could use I little more realistic and more fun cause all you use is a line,5
"Very nice game 👍 This game is injoy able So, nice 🎮 game 👍",1
Vvjgyt and EU from could you get 💖👩‍❤️‍👨💖👩‍❤️‍👨💗🛀💖🛀🙆👩‍❤️‍👨🙆🙆🙆🙆a new fbbgchhgdjjjjuy jvjj ciu and I will be in a new one for the use and EU and the use and may be a great day ahead and e☝️ven😭☝️🤦❤️🤦🤷🙎☝️🙎😘☝️👫☝️👫🤽👫😲👫😷👫🤽👫😷🤽👫 if they r r,5
Very nice game,5
"You don't need wifi to play , just to get ads, there is obstacles that have if you hit them ads Absolute money grab.",1
Ok,5
Remove all adsadsadsadsadsadsads fricking ads,3
Bad 👎👎👎👎👎👎👎👎👎👎👎,1
Venice. F. Eta,5
So fun to play with your own kids in your home,5
