content,score
"Dont download this game , it has poor easy levels as well as if your internet is on then they will force you to watch ads & also you cant save your game before deleting it by connecting to google accounts or to facebook",1
This game is very nice l loved it very much,5
Game Raja,5
Super,5
Good Yes,4
Very nice game 👍👌,5
Tatti,1
Bakwaas app hai many ads i hate this app,1
Bad game,5
Nice,5
Wow very great game ❤️,5
Worst app only for ads,1
Fraud! Not the same game as shownn in ads.,1
It's bad good mad hshejrjrjjrkt,5
Nice experience,5
Op,3
suchit,5
Good,5
Kunu,5
Good,5
꧁DJ༒SAYAN࿐,5
Nice,5
Waoooooooooooooooooooooo. Lovely game 💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞 Supper is looking game...................... 🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠🤠💝💝💝💝💝💝💝❣️❣️❣️❣️❣️💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕❣️❣️❣️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ thank you...........♥️,5
Its cool,5
GB vs UHF in b,3
Nargis Rani,5
srk media,1
Very nice I like it so much,3
This game is very interested,5
Nice,3
Gazipur,5
Kko,4
Sup...,5
I Love your games and Like your cartoon,5
Jahin,5
I love this game,4
Vara level game,5
I is a good game,2
Raheer,5
I love this game,4
Rt,5
V good,1
"Request sir, amazing game level but level 98 is bug please sir fix in bug",2
Funny,5
It is nice game I like it so much,3
Atishay faltu,1
Not bad,3
this game is a very good,5
"So far the game is horible, as far as i got was to the loading screen. I do not actually know if im able to get into the game because i could not be bothered to sit there doing nothing for how ever long",1
Very nice hame I like this hame👍👍👍,3
Best game for ever,5
Good game only,4
Wow good!!,5
Very Fun and Fast moving app,5
Good rider,5
Don't nunstal my game,5
Because of maja,3
Nice,1
Take 5 star from my side,5
Nice,5
PAWANKUAMR the first one to one of,5
"Fodu app, too many adds please don't download",1
Zaid,3
Gog,5
Dj 🌃 and,1
Boreing app,1
The game is fun and interestingto the person how is playing escape master. I actually love the game😎😎,5
"I'm not giving any ratings because the type of game you've shown in ads , the downloaded game is just opposite of the game shown in ad . I'm very much disappointed 😞 & the result of disappointing is that I'm UNINSTALLING this game from my phone 📱. I'm sorry to myself that I wasted 77MB on downloading this stupid game 🎮 & also suggest other people to not waste your 77MB on this STUPID GAME 😠🤬",1
0p ppp o ppl pp look ok he lol ppplppppllkkjjojjjjjjjhY gid zoo Ellueppk🥳,4
I dont like this game,1
Bdya h,5
👏👐,5
BAD game,5
Im so exited🤓🤓🤓,4
Better to download advertisement application,1
Azraile,5
ANKIT,1
आरती,5
💯,5
Very bad,1
Very nice,5
Good yaar 🤔,5
Very bad 😡😡😡,1
Nice,5
Mg,2
🤪🤩,5
A great game except once you have completed the mansion there is not a lot to play to earn,4
Fun,5
Almost good,4
I like this game,5
Very nyc,5
Awsomeeee?!!!!,5
Its so Amazing game i have a fun so so so interesting game i love him.,5
I'm a kid and I love it,5
Cool 😎 good 😘 game L,5
Good game,5
😍😍😘😘😘😘😘😘😘,5
Nice,4
BOSS,1
i like this game this is a best game forever,5
Fxg,5
Very bed game too much add. U not enjoy game 10 sec.without add.,1
It's gorgeous 🤗❤️,5
Very nice,5
@sahilshazzz501,5
Beyond words,5
Nice,5
High,5
Too many adds. If u r playing this game first time and u are interested in this game so u can play after playing u will say that TOO MANY ADDS.,1
😊😊😊,5
Good gg:),5
রাকিব,5
Asim,5
Cool,5
This app spasms notification,1
Nicee,5
Nice,5
Good game,5
Great!!,5
Super,5
Nc,5
FAKE ADVERTISING 😒😒,1
Not so interested pls who agree with me click in yes And who diagree with me click in on Pls,1
Bbb,4
Good,5
Super,5
Nice,4
Good,5
"Yadav ji, bhaiya",3
Menu,5
qenm,5
Worst game in world👎👎👎👎,1
I hate this game is so bad,1
Terlalu banyak iklan,1
Good,5
rate,5
Super,5
Nice game,5
Great game love the costume for the prisoners and like how they dig to escape the prison,5
Hor GOOGLE HAS THE LATEST VERSION OF MICROSOFT SOFTWARE,5
Amazing game so funny thank you .,5
Very nice ad is more ...but it's ok,5
WOW,5
I. love this. game,4
Nice app I love 💕 it💌🕺😎,5
Too boring game,1
Tanginamo,3
It's not as I expected.... It's so boring,1
Good,5
Nice care very beautiful you know,5
This game is great just the ads,5
Good,1
Md gsjsy Gaid Salah,5
Fun and good game,1
Nice,4
Kriti ❤❤❤,5
Is cooool😊🤗☺😻,5
Best game ever yes it has ads when you are online but when you are offline 0 ads okay,5
Funny game,5
Played by offline,5
Shayaan,5
Good 👍 excellent ♥️♥️💚💚♥️fablous,5
Nice,5
Good but not ok,5
Bakair game,1
Very good,5
Nice 🙂,5
This game is awesome. I love it,5
So niceeeee,5
Nice,5
GOOD,5
SO COOL,5
Lovely,5
👌👌👌👌,5
"Such potential...., little to no challenge, overloaded with ads ... developers, maybe put a little more effort in.",2
Rd?#edrafx,1
This game is so easy,5
Awesome,4
عالی,5
sow happy idalod yo to maganda to gasey 👍👍👍,5
Ok,3
Very funi,5
Nice game,5
Worst app,1
Achcha hai,5
rest,5
Nice,5
Th,4
Good,4
It's so slow very frustrating I won't recommend it to anyone it's also full of adds,1
Ali.Asl,5
WILLDONEGAME,5
Ok,4
